index,x,y
truck4,377.0926949048496,37.57262103505843
truck11,323.9766728054021,109.61268781302171
truck17,310.62001227747083,222.02003338898166
truck18,364.6678944137508,222.64106844741238
truck19,431.1405770411296,207.11519198664442
truck21,438.59545733578886,147.80634390651085
truck22,356.2811540822591,145.63272120200335
truck25,23.607120933087785,338.1535893155259
truck26,121.14180478821363,337.2220367278798
truck27,173.94720687538367,340.3272120200334
truck28,224.88888888888889,335.97996661101837
truck29,296.0208717004297,350.8848080133556
truck31,397.90423572744015,353.05843071786313
truck35,288.8766114180479,385.35225375626044
truck36,303.16513198281154,414.85141903171956
truck40,118.65684468999386,479.4390651085142
truck41,217.4340085942296,477.8864774624374
truck42,276.1411909146716,476.95492487479135
truck43,290.42971147943524,506.7646076794658
truck50,60.881522406384285,535.9532554257096
truck52,241.9729895641498,281.94991652754595
truck53,209.35788827501537,280.0868113522538
truck54,320.5598526703499,273.5659432387312
truck44,315.5899324739104,295.92320534223705
truck47,296.3314917127072,323.559265442404
truck56,404.11663597298957,294.3706176961603
