index,name,x,y,demand
demand3,Gaussian Mixture Shakes & Smoothies,281.11111111111114,63.34557595993323,50
demand4,Barrier Fencing,347.5837937384899,78.56093489148581,15
demand5,Poisson Distribution Fish Market,428.96623695518724,48.751252086811355,29
demand6,LP Relaxation Spa,470.2786985880909,78.56093489148581,15
demand7,The Euclidean Space,393.5555555555556,98.43405676126879,50
demand8,The Analytic Center,344.78821362799266,115.20200333889817,24
demand9,Lift and Project Gym,454.7476979742173,181.03171953255426,37
demand10,L'Hôpital,411.57151626764886,143.45909849749583,33
demand13,Linear Regression Psychology Services,315.2793124616329,163.64273789649417,22
demand14,George's Basic Diet Solutions,213.70656844689995,160.53756260434056,35
demand18,Callback Cat Café,187.6144874155924,222.64106844741238,15
demand19,Toy Problems 'ᴙ' Us,152.2038060159607,245.30884808013357,38
demand20,Complex Complex,239.48802946593003,246.86143572621037,8
demand21,Gurobi Polytope,295.71025168815225,240.96160267111856,30
demand22,Vertex Tower,342.92449355432785,231.3355592654424,48
demand23,Anna Konda's Pet Shop,395.4192756292204,220.77796327212022,29
demand24,Presolve: Prenuptial Agreements,429.2768569674647,244.68781302170285,50
demand28,RINS Laundromat,169.90914671577656,306.17028380634395,31
demand29,IIS Tower,113.68692449355433,291.8864774624374,6
demand30,Knapsack News,52.494782074892576,304.61769616026714,11
demand32,Convex Amphitheater,190.41006752608965,367.652754590985,50
demand42,MIP Manor,159.9693063228975,512.974958263773,16
demand43,Bag of Words Designer Handbags,87.90546347452425,481.9232053422371,32
demand44,Bias & Variance Courthouse,193.82688766114182,446.52420701168614,5
demand45,Joke-obian's Comedy Club,152.82504604051567,419.50918196994996,41
demand46,Lagrange Boulangerie,104.98956414978515,419.1986644407346,40
demand48,Cutting Plane Woodworks,392.0024554941682,256.17696160267116,35
demand51,Farkas' Lemma-nade,391.38121546961327,186,4
demand53,Gu Library,278.62615101289134,105.57595993322204,43
