index,x,y
truck0,72.06384284837324,57.75626043405676
truck1,112.75506445672193,58.06677796327212
truck2,237.31368937998772,55.272120200333895
truck8,164.62860650705954,130.41736227045075
truck9,218.6764886433395,145.63272120200335
truck10,336.71209330877844,130.1068447412354
truck12,224.57826887661142,93.7762938230384
truck15,210.60036832412524,207.11519198664442
truck16,298.50583179864947,205.56260434056762
truck17,310.62001227747083,222.02003338898166
truck18,364.6678944137508,222.64106844741238
truck22,356.2811540822591,145.63272120200335
truck23,128.59668508287294,263.9398998330551
truck27,173.94720687538367,340.3272120200334
truck30,332.05279312461636,352.12687813021705
truck31,397.90423572744015,353.05843071786313
truck33,393.24493554327813,377.2787979966611
truck34,337.9545733578883,395.28881469115197
truck36,303.16513198281154,414.85141903171956
truck37,209.35788827501537,398.3939899833055
truck41,217.4340085942296,477.8864774624374
truck42,276.1411909146716,476.95492487479135
truck45,395.4192756292204,495.27545909849755
truck52,241.9729895641498,281.94991652754595
truck53,209.35788827501537,280.0868113522538
truck54,320.5598526703499,273.5659432387312
truck44,315.5899324739104,295.92320534223705
truck55,387.0325352977287,454.5976627712855
