index,name,x,y,demand
demand0,Pipe Benders,95.67096378146103,83.52921535893155,43
demand1,Traveling Salesperson Agency,126.11172498465316,89.42904841402338,17
demand2,ReLU Realty,190.72068753836712,72.661101836394,39
demand14,George's Basic Diet Solutions,213.70656844689995,160.53756260434056,46
demand15,MILP Mart,176.7427869858809,186.93155258764608,47
demand16,Rothberg Tower,129.21792510742787,168.6110183639399,14
demand17,Multimodal Distribution Center,68.02578268876611,229.7829716193656,18
demand19,Toy Problems 'ᴙ' Us,152.2038060159607,245.30884808013357,37
demand20,Complex Complex,239.48802946593003,246.86143572621037,9
demand28,RINS Laundromat,169.90914671577656,306.17028380634395,22
demand35,Elastic Net Fishing Supplies,437.66359729895646,354.61101836393993,47
demand37,Numerical Issues Zoo,315.90055248618785,445.28213689482476,15
demand39,Bin Packing Post Office,451.33087783916517,473.228714524207,10
demand40,Land & Harcourt's B&B,375.2289748311848,491.23873121869786,19
demand41,K-Fold Parking Validation,233.89686924493554,480.68113522537567,9
demand44,Bias & Variance Courthouse,193.82688766114182,446.52420701168614,26
demand47,Logistic Regression Couriers,375.2289748311848,397.46243739565944,26
demand52,Cutting Stock Atelier,217.12338858195213,104.02337228714525,15
