index,name,x,y,demand
demand2,ReLU Realty,190.72068753836712,72.661101836394,16
demand11,Reinforcement Learning Puppy Training,284.83855125844076,188.79465776293824,3
demand12,KKT Air Conditioning,256.57213014119094,158.0534223706177,5
demand14,George's Basic Diet Solutions,213.70656844689995,160.53756260434056,15
demand15,MILP Mart,176.7427869858809,186.93155258764608,9
demand16,Rothberg Tower,129.21792510742787,168.6110183639399,8
demand17,Multimodal Distribution Center,68.02578268876611,229.7829716193656,8
demand18,Callback Cat Café,187.6144874155924,222.64106844741238,8
demand19,Toy Problems 'ᴙ' Us,152.2038060159607,245.30884808013357,18
demand20,Complex Complex,239.48802946593003,246.86143572621037,5
demand21,Gurobi Polytope,295.71025168815225,240.96160267111856,10
demand28,RINS Laundromat,169.90914671577656,306.17028380634395,9
demand30,Knapsack News,52.494782074892576,304.61769616026714,9
demand31,Edgeworth's Newsvendors,72.68508287292818,359.889816360601,30
demand32,Convex Amphitheater,190.41006752608965,367.652754590985,22
demand45,Joke-obian's Comedy Club,152.82504604051567,419.50918196994996,6
demand46,Lagrange Boulangerie,104.98956414978515,419.1986644407346,40
demand50,Gum-ory Dental Services,200.66052793124618,262.07679465776295,10
demand51,Farkas' Lemma-nade,391.38121546961327,186,7
demand52,Cutting Stock Atelier,217.12338858195213,104.02337228714525,16
demand53,Gu Library,278.62615101289134,105.57595993322204,7
