demand_node_index,truck_node_index,distance,scaled_demand
demand2,truck3,214.1894677350949,7
demand2,truck6,201.15757059203833,8
demand2,truck7,161.8319905174385,11
demand2,truck8,113.77854156039554,15
demand2,truck10,212.76620832221823,7
demand2,truck11,176.4806383321785,10
demand2,truck12,74.73390674302166,16
demand2,truck13,234.88908404975282,5
demand2,truck15,190.35975427783865,9
demand2,truck16,270.43966913836493,2
demand2,truck17,289.32711131321645,1
demand2,truck18,326.28375500150185,0
demand2,truck19,392.9276149840903,0
demand2,truck22,250.14133880262133,4
demand2,truck23,247.09606148653955,4
demand2,truck25,408.98857148468085,0
demand2,truck26,319.54791496641536,0
demand2,truck27,355.8132278631459,0
demand2,truck28,414.47180939454455,0
demand2,truck38,384.3523700655122,0
demand2,truck40,464.445372604124,0
demand2,truck52,272.54559382820423,2
demand2,truck53,243.3271069354977,5
demand2,truck47,392.41956609022037,0
demand11,truck3,291.6450169756394,0
demand11,truck6,318.12875063079963,0
demand11,truck7,296.537830201376,0
demand11,truck8,250.43514193574634,1
demand11,truck10,206.6606155435903,1
demand11,truck11,244.56945063237086,1
demand11,truck12,210.58899337302893,1
demand11,truck13,217.75409826043241,1
demand11,truck15,96.71967505006045,3
demand11,truck16,63.718556287182246,3
demand11,truck17,82.60599846203378,3
demand11,truck18,120.46627021482777,3
demand11,truck19,187.11013019741625,2
demand11,truck22,169.48435632994574,2
demand11,truck23,228.95340850177726,1
demand11,truck25,390.8459184999185,0
demand11,truck26,290.7432439516774,0
demand11,truck27,265.47758133581965,1
demand11,truck28,292.1926958546955,0
demand11,truck38,355.54769905077427,0
demand11,truck40,435.6407015893861,0
demand11,truck52,149.26205273274894,2
demand11,truck53,149.68702770771952,2
demand11,truck47,186.57085000193078,2
demand12,truck3,289.41234558822754,0
demand12,truck6,277.4294629800088,1
demand12,truck7,238.103882905409,2
demand12,truck8,190.05043394836605,3
demand12,truck10,214.1168457822481,2
demand12,truck11,251.70351618531112,1
demand12,truck12,149.95678459615428,4
demand12,truck13,216.52407362733103,2
demand12,truck15,95.48965041695907,5
demand12,truck16,175.56956527748537,3
demand12,truck17,194.45700745233688,3
demand12,truck18,232.3172792051309,2
demand12,truck19,298.96113918771937,0
demand12,truck22,251.4919762626512,1
demand12,truck23,227.72338386867588,2
demand12,truck25,389.61589386681715,0
demand12,truck26,300.17523734855166,0
demand12,truck27,293.8910185703953,0
demand12,truck28,352.54960010179394,0
demand12,truck38,364.9796924476485,0
demand12,truck40,445.0726949862603,0
demand12,truck52,177.67548996732467,3
demand12,truck53,148.45700307461814,4
demand12,truck47,297.54946222934086,0
demand14,truck3,295.09517438095173,0
demand14,truck6,283.11229177273293,1
demand14,truck7,243.78671169813313,4
demand14,truck8,195.7332627410902,8
demand14,truck10,219.7996745749723,6
demand14,truck11,257.3863449780353,3
demand14,truck12,155.63961338887844,11
demand14,truck13,199.63489214255472,8
demand14,truck15,78.60046893218275,15
demand14,truck16,158.68038379270902,11
demand14,truck17,177.56782596756054,9
demand14,truck18,215.42809772035454,6
demand14,truck19,282.07195770294305,1
demand14,truck22,257.1748050553754,3
demand14,truck23,210.83420238389957,7
demand14,truck25,372.72671238204083,0
demand14,truck26,283.28605586377535,1
demand14,truck27,277.00183708561906,2
demand14,truck28,335.6604186170177,0
demand14,truck38,348.0905109628722,0
demand14,truck40,428.183513501484,0
demand14,truck52,160.78630848254835,10
demand14,truck53,131.56782158984183,13
demand14,truck47,280.66028074456455,1
demand15,truck3,315.91701296649063,0
demand15,truck6,168.17077824121534,6
demand15,truck7,128.84519816661552,8
demand15,truck8,80.79174920957256,9
demand15,truck10,253.36911905776486,2
demand15,truck11,278.2081835635742,1
demand15,truck12,176.46145197441737,6
demand15,truck13,155.1835606499316,7
demand15,truck15,183.87313538616624,5
demand15,truck16,263.9530502466925,2
demand15,truck17,282.840492421544,1
demand15,truck18,320.700764174338,0
demand15,truck19,387.3446241569265,0
demand15,truck22,290.74424953816794,0
demand15,truck23,167.2672402979919,6
demand15,truck25,329.1597502961331,0
demand15,truck26,239.71909377786767,3
demand15,truck27,275.98440667459823,1
demand15,truck28,334.64298820599686,0
demand15,truck38,304.5235488769645,0
demand15,truck40,384.61655141557634,0
demand15,truck52,266.05897493653185,2
demand15,truck53,236.8404880438253,3
demand15,truck47,385.932947198548,0
demand16,truck3,398.53922671669034,0
demand16,truck6,180.13183107894693,5
demand16,truck7,158.5409106495232,6
demand16,truck8,163.41396295977228,5
demand16,truck10,335.99133280796457,0
demand16,truck11,360.830397313774,0
demand16,truck12,259.0836657246171,2
demand16,truck13,79.75717870857969,8
demand16,truck15,159.422494020693,6
demand16,truck16,239.50240888121925,2
demand16,truck17,258.38985105607077,2
demand16,truck18,296.2501228088648,0
demand16,truck19,362.89398279145325,0
demand16,truck22,345.2682089239827,0
demand16,truck23,142.81659893251864,6
demand16,truck25,304.70910893065985,0
demand16,truck26,215.26845241239442,3
demand16,truck27,251.53376530912502,2
demand16,truck28,310.1923468405236,0
demand16,truck38,280.07290751149134,1
demand16,truck40,360.16591005010315,0
demand16,truck52,241.60833357105858,2
demand16,truck53,212.38984667835206,4
demand16,truck47,361.48230583307475,0
demand17,truck3,455.61436022151423,0
demand17,truck6,288.1827051596494,0
demand17,truck7,266.5917847302257,1
demand17,truck8,220.48909646459612,3
demand17,truck10,393.0664663127884,0
demand17,truck11,417.9055308185978,0
demand17,truck12,316.15879922944094,0
demand17,truck13,187.8080527892822,4
demand17,truck15,216.49762752551683,3
demand17,truck16,296.5775423860431,0
demand17,truck17,315.4649845608946,0
demand17,truck18,353.3252563136886,0
demand17,truck19,419.9691162962771,0
demand17,truck22,402.3433424288065,0
demand17,truck23,112.76461203015802,7
demand17,truck25,274.6571220282993,1
demand17,truck26,185.21646551003386,5
demand17,truck27,221.48177840676445,3
demand17,truck28,280.14035993816304,1
demand17,truck38,250.02092060913074,2
demand17,truck40,330.1139231477426,0
demand17,truck52,211.8195688992485,4
demand17,truck53,182.601082006542,5
demand17,truck47,331.6935411612647,0
demand18,truck3,344.14285326972936,0
demand18,truck6,312.2270495354268,0
demand18,truck7,290.63612910600307,0
demand18,truck8,244.5334408403735,2
demand18,truck10,268.8473534637499,1
demand18,truck11,306.43402386681294,0
demand18,truck12,204.68729227765607,4
demand18,truck13,211.85239716505956,4
demand18,truck15,90.81797395468759,8
demand18,truck16,170.8978888152139,5
demand18,truck17,189.7853309900654,4
demand18,truck18,227.6456027428594,3
