index,name,x,y,demand
demand0,Pipe Benders,95.67096378146103,83.52921535893155,20
demand1,Traveling Salesperson Agency,126.11172498465316,89.42904841402338,20
demand2,ReLU Realty,190.72068753836712,72.661101836394,45
demand11,Reinforcement Learning Puppy Training,284.83855125844076,188.79465776293824,30
demand12,KKT Air Conditioning,256.57213014119094,158.0534223706177,5
demand13,Linear Regression Psychology Services,315.2793124616329,163.64273789649417,10
demand14,George's Basic Diet Solutions,213.70656844689995,160.53756260434056,20
demand15,MILP Mart,176.7427869858809,186.93155258764608,15
demand16,Rothberg Tower,129.21792510742787,168.6110183639399,50
demand17,Multimodal Distribution Center,68.02578268876611,229.7829716193656,10
demand18,Callback Cat Café,187.6144874155924,222.64106844741238,35
demand20,Complex Complex,239.48802946593003,246.86143572621037,45
demand21,Gurobi Polytope,295.71025168815225,240.96160267111856,5
demand24,Presolve: Prenuptial Agreements,429.2768569674647,244.68781302170285,15
demand26,Nonlinear Thinking Center,356.2811540822591,317.0383973288815,40
demand29,IIS Tower,113.68692449355433,291.8864774624374,45
demand34,Scheduling Station,359.3873542050338,363.9265442404007,50
demand41,K-Fold Parking Validation,233.89686924493554,480.68113522537567,40
demand47,Logistic Regression Couriers,375.2289748311848,397.46243739565944,30
demand49,Big-M Market,241.9729895641498,421.68280467445743,30
demand51,Farkas' Lemma-nade,391.38121546961327,186,25
demand53,Gu Library,278.62615101289134,105.57595993322204,15
