index,x,y
truck2,237.31368937998772,55.272120200333895
truck10,336.71209330877844,130.1068447412354
truck12,224.57826887661142,93.7762938230384
truck18,364.6678944137508,222.64106844741238
truck23,128.59668508287294,263.9398998330551
truck36,303.16513198281154,414.85141903171956
truck37,209.35788827501537,398.3939899833055
truck41,217.4340085942296,477.8864774624374
truck42,276.1411909146716,476.95492487479135
truck52,241.9729895641498,281.94991652754595
truck53,209.35788827501537,280.0868113522538
truck54,320.5598526703499,273.5659432387312
truck44,315.5899324739104,295.92320534223705
truck55,387.0325352977287,454.5976627712855
